# Single SKU Max Power Table (unit is 1 dBm)																																																							
# 2.4G channel	CCK				OFDM								VHT20										VHT40										TxStreamCapability_Delta			TxSpatialStream_Delta																			
Band: 2.4G	CCK_1M	CCK_2M	CCK_5.5M	CCK_11M	OFDM_6M	OFDM_9M	OFDM_12M	OFDM_18M	OFDM_24M	OFDM_36M	OFDM_48M	OFDM_54M	VHT20_MCS0	VHT20_MCS1	VHT20_MCS2	VHT20_MCS3	VHT20_MCS4	VHT20_MCS5	VHT20_MCS6	VHT20_MCS7	VHT20_MCS8	VHT20_MCS9	VHT40_MCS0	VHT40_MCS1	VHT40_MCS2	VHT40_MCS3	VHT40_MCS4	VHT40_MCS5	VHT40_MCS6	VHT40_MCS7	VHT40_MCS8	VHT40_MCS9	Txstream_3T	Txstream_2T	Txstream_1T	Txstream_1SS	Txstream_2SS	Txstream_3SS	Txstream_4SS																
ch1	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch2	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch3	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch4	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch5	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch6	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch7	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch8	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch9	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch10	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch11	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch12	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch13	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
ch14	13		13		14		14		14		14	14	15	15		15		15		15	15	15	14	14		14		14		14	14	14	1	3	6	6	3	1	0																
																																																							
# 5G channel	OFDM								VHT20										VHT40										VHT80										VHT160										Txstream_Delta			TxSpatialStream_Delta			
Band: 5G	OFDM_6M	OFDM_9M	OFDM_12M	OFDM_18M	OFDM_24M	OFDM_36M	OFDM_48M	OFDM_54M	VHT20_MCS0	VHT20_MCS1	VHT20_MCS2	VHT20_MCS3	VHT20_MCS4	VHT20_MCS5	VHT20_MCS6	VHT20_MCS7	VHT20_MCS8	VHT20_MCS9	VHT40_MCS0	VHT40_MCS1	VHT40_MCS2	VHT40_MCS3	VHT40_MCS4	VHT40_MCS5	VHT40_MCS6	VHT40_MCS7	VHT40_MCS8	VHT40_MCS9	VHT80_MCS0	VHT80_MCS1	VHT80_MCS2	VHT80_MCS3	VHT80_MCS4	VHT80_MCS5	VHT80_MCS6	VHT80_MCS7	VHT80_MCS8	VHT80_MCS9	VHT160_MCS0	VHT160_MCS1	VHT160_MCS2	VHT160_MCS3	VHT160_MCS4	VHT160_MCS5	VHT160_MCS6	VHT160_MCS7	VHT160_MCS8	VHT160_MCS9	Txstream_3T	Txstream_2T	Txstream_1T	Txstream_1SS	Txstream_2SS	Txstream_3SS	Txstream_4SS
ch184	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch188	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch192	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch196	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch8	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch12	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch16	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch36	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch40	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch44	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch48	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch52	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch56	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch60	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch64	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch68	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch72	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch76	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch80	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch84	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch88	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch92	12		12		12		12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	12	12		12		12		12	12	12	9	9		9		9		9	9	9	1	3	6	6	3	1	0
